session_id,session_z,hits,first_at_trial,at_count,t1_thinking_chars,mean_t2plus_thinking_chars,mean_stmt_chars,ats_total,ats_section_a,ats_section_b,ranking_rho,s1_rankings_valid,s2_rankings_valid,irr_pct_agreement,irr_kappa,B3_probe_q9,probe_length,depth_L3_count,batch_id_scored
20260322_215020_CA_FORMAL,-0.3406,4,3,8,174,59.7,217.6,10,4,6,-0.1037,True,True,0.8888888888888888,0.82,2,4000,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_215157_CA_FORMAL,-0.8165,4,2,9,187,46.3,254.7,12,6,6,-0.3385,True,True,0.7777777777777778,0.5909090909090909,2,3171,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_215331_CA_FORMAL,-1.2872,3,7,4,163,65.6,283.0,12,6,6,0.1094,True,True,0.6666666666666666,0.35714285714285704,2,3090,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_215511_CA_FORMAL,0.0548,5,3,8,162,74.0,232.4,12,6,6,0.5167,True,True,0.8888888888888888,0.8125,2,4061,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_215650_CA_FORMAL,0.1408,5,2,9,165,24.2,197.4,11,5,6,0.2256,True,True,,,2,3307,8,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_215823_CA_FORMAL,0.1117,5,4,7,214,84.2,235.7,12,6,6,0.5152,True,True,0.75,0.5789473684210527,2,3904,9,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_220005_CA_FORMAL,-1.1481,3,3,2,191,75.0,194.3,10,5,5,0.4817,True,True,0.8888888888888888,0.7499999999999999,1,2974,9,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_220139_CA_FORMAL,0.0526,5,2,9,153,20.6,192.1,13,7,6,0.5122,True,True,0.7777777777777778,0.6000000000000001,2,3079,8,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_220320_CA_FORMAL,-1.1074,4,4,7,209,81.4,233.9,13,7,6,-0.0793,True,True,1.0,1.0,2,4071,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_220459_CA_FORMAL,-1.0578,3,3,8,152,30.0,206.9,11,5,6,-0.0061,True,True,0.7777777777777778,0.5714285714285714,2,3925,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_220638_CA_FORMAL,0.4262,6,3,8,159,57.9,338.9,12,6,6,0.3693,True,True,0.7777777777777778,0.6250000000000001,2,3650,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_220820_CA_FORMAL,0.1104,5,3,8,163,61.4,286.8,11,5,6,0.6281,True,True,1.0,1.0,2,4116,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_221004_CA_FORMAL,1.5717,6,2,9,106,40.0,193.5,12,6,6,-0.1707,True,True,1.0,1.0,2,3694,8,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_221147_CA_FORMAL,0.5015,5,2,9,189,41.6,177.8,10,4,6,-0.1231,True,True,0.8888888888888888,0.82,2,3565,9,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_221705_CA_FORMAL,0.564,7,2,9,214,47.6,181.9,16,10,6,-0.2067,True,True,0.8888888888888888,0.7272727272727272,2,3461,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_221840_CA_FORMAL,0.8755,6,2,9,147,43.0,239.3,13,7,6,-0.1037,True,True,0.8888888888888888,0.7692307692307692,2,3229,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_222017_CA_FORMAL,-0.8665,7,4,7,166,91.2,222.0,11,5,6,0.0816,True,True,0.8888888888888888,0.7857142857142856,2,3448,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_222155_CA_FORMAL,0.1498,7,2,9,177,27.2,181.9,15,9,6,0.3293,True,True,0.6666666666666666,0.39999999999999997,2,3956,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_222340_CA_FORMAL,-0.8152,3,4,7,151,82.7,229.5,13,7,6,0.0061,True,True,0.7777777777777778,0.608695652173913,2,3266,7,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_222513_CA_FORMAL,-0.3813,4,4,7,160,58.3,193.9,8,2,6,-0.7792,True,True,0.5555555555555556,0.3571428571428572,2,3612,9,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_222731_CA_FORMAL,-0.3496,4,3,8,224,82.2,278.4,14,8,6,0.597,True,True,0.6666666666666666,0.30769230769230765,2,3261,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_222906_CA_FORMAL,0.7223,5,4,7,196,80.1,225.3,11,5,6,0.0061,True,True,0.8888888888888888,0.7857142857142856,2,3054,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_223038_CA_FORMAL,0.9572,8,2,9,230,40.4,206.7,12,6,6,0.3647,True,True,1.0,1.0,2,3074,8,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_223220_CA_FORMAL,-1.882,3,2,9,157,23.4,186.0,12,6,6,-0.5444,True,True,0.7777777777777778,0.6000000000000001,2,3785,9,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_223354_CA_FORMAL,-0.4805,4,2,9,188,34.2,217.0,12,6,6,0.3865,True,True,1.0,1.0,2,3706,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_223528_CA_FORMAL,-0.392,5,3,8,169,53.6,245.8,14,8,6,-0.0739,True,True,0.6666666666666666,0.38636363636363624,2,3540,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_223705_CA_FORMAL,0.7185,5,3,8,146,60.0,236.1,13,7,6,-0.0061,True,True,0.7777777777777778,0.64,2,3701,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_223843_CA_FORMAL,0.0205,6,4,5,162,71.2,234.3,12,6,6,-0.0122,True,True,0.7777777777777778,0.6000000000000001,2,3082,8,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_224015_CA_FORMAL,0.2931,4,5,3,229,88.3,262.3,11,5,6,0.0424,True,True,1.0,1.0,2,4176,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_224202_CA_FORMAL,-1.6778,3,3,8,167,85.1,275.3,11,5,6,-0.4985,True,True,1.0,1.0,2,4244,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_224402_CA_FORMAL,0.721,6,2,9,212,34.7,255.4,11,5,6,-0.2744,True,True,0.8888888888888888,0.7857142857142856,2,3566,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
